Video_ID,Title,Views,Likes,Comments,Published_Date,Duration_In_Minutes,Revenue_Low,Revenue_Avg,Revenue_High,Engagment_Score,Long_Video,Upload_Weekday,Upload_Month_Name,Published_Year,Upload_Month_Number,Upload_Hour,publish_hour,Upload_Time_Category,Day_of_Week,Content_Age_In_Days,Estimated_Watch_Time
vpRW4JhzfSE,1 Subscriber = 1 Second In The Arctic,45272481,1728306,7609,2025-08-08,0.2833333333333333,11318.12,67908.72,181089.92,3.83,False,Friday,August,2025,8,04 PM,16,Afternoon,Friday,6,8979042.065
qXW93Cois2s,Guess What Hit You,39787078,806411,4238,2025-08-05,0.5333333333333333,9946.77,59680.62,159148.31,2.04,False,Tuesday,August,2025,8,04 PM,16,Afternoon,Tuesday,9,14853842.453333331
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",53348208,2018528,37652,2025-08-01,10.333333333333334,13337.05,80022.31,213392.83,3.85,True,Friday,August,2025,8,04 PM,16,Afternoon,Friday,13,385885371.2
V6In4tmd-w8,"$1 vs $25,000 VFX",76305266,1989477,11442,2025-06-19,0.38333333333333336,19076.32,114457.9,305221.06,2.62,False,Thursday,June,2025,6,05 PM,17,Evening,Thursday,56,20475246.376666665
DZIASl9q90s,"Beat Neymar, Win $500,000",151446723,3485968,81165,2025-05-24,27.883333333333333,37861.68,227170.08,605786.89,2.36,True,Saturday,May,2025,5,04 PM,16,Afternoon,Saturday,82,2955987621.7549996
N0pwLtonPdg,Slippery vs Sticky Stairs,629978420,7147860,21271,2025-05-16,0.6,157494.61,944967.63,2519913.68,1.14,False,Friday,May,2025,5,04 PM,16,Afternoon,Friday,90,264590936.39999998
M1STzb7k9L8,Extreme Helmet Game,197816741,2166759,4994,2025-04-25,0.38333333333333336,49454.19,296725.11,791266.96,1.1,False,Friday,April,2025,4,04 PM,16,Afternoon,Friday,111,53080825.501666665
zajUgQLviwk,"Last to Leave Their Circle Wins $500,000",187530881,3030641,83458,2025-03-01,38.63333333333333,46882.72,281296.32,750123.52,1.66,True,Saturday,March,2025,3,05 PM,17,Evening,Saturday,166,5071460125.176666
nAiKLoCP-kU,"Reach the Money, Win $10,000",441719056,7291979,8490,2025-02-14,0.4166666666666667,110429.76,662578.58,1766876.22,1.65,False,Friday,February,2025,2,06 PM,18,Evening,Friday,181,128834724.66666667
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,214455991,5308827,101145,2025-02-08,21.716666666666665,53614.0,321683.99,857823.96,2.52,True,Saturday,February,2025,2,05 PM,17,Evening,Saturday,187,3260088489.851666
SM66GDRyIVY,"I Helped 2,000 People Walk Again",116398271,2922514,54514,2025-01-11,15.516666666666667,29099.57,174597.41,465593.08,2.56,True,Saturday,January,2025,1,05 PM,17,Evening,Saturday,215,1264279220.1783333
gs8qfL9PNac,"2,000 People Fight For $5,000,000",181070247,4550068,50432,2024-12-19,24.75,45267.56,271605.37,724280.99,2.54,True,Thursday,December,2024,12,05 PM,17,Evening,Thursday,238,3137042029.275
bn0Kh9c4Zv4,7 Days Exploring An Underground City,156879207,3621321,32762,2024-10-12,20.583333333333332,39219.8,235318.81,627516.83,2.33,True,Saturday,October,2024,10,04 PM,16,Afternoon,Saturday,306,2260367907.5249996
8krJy31Diow,Holding Bigger And Bigger Dogs,300959769,7869927,9505,2024-09-16,0.2833333333333333,75239.94,451439.65,1203839.08,2.62,False,Monday,September,2024,9,06 PM,18,Evening,Monday,332,59690354.184999995
snUyLbGx6U4,"Buy Feastables, Win Unlimited Money",371631190,12144224,26646,2024-04-30,0.85,92907.8,557446.78,1486524.76,3.27,False,Tuesday,April,2024,4,04 PM,16,Afternoon,Tuesday,471,221120558.04999998
Pv0iVoSZzN8,In 10 Minutes This Room Will Explode!,158182298,4143735,77763,2024-04-27,10.0,39545.57,237273.45,632729.19,2.67,False,Saturday,April,2024,4,04 PM,16,Afternoon,Saturday,474,1107276086.0
7ESeQBeikKs,"Protect $500,000 Keep It!",181610791,4752652,70290,2024-01-13,15.566666666666666,45402.7,272416.19,726443.16,2.66,True,Saturday,January,2024,1,05 PM,17,Evening,Saturday,579,1978952252.5966666
tnTPaLOaHz8,"$10,000 Every Day You Survive In A Grocery Store",437034574,7141679,84280,2023-12-02,21.533333333333335,109258.64,655551.86,1748138.3,1.65,True,Saturday,December,2023,12,05 PM,17,Evening,Saturday,621,6587567812.093333
7dYTw-jAYkY,I Spent 7 Days Buried Alive,267895417,7717267,116354,2023-11-18,18.566666666666666,66973.85,401843.13,1071581.67,2.92,True,Saturday,November,2023,11,05 PM,17,Evening,Saturday,635,3481747436.2766666
mwKJfNYwvm8,I Built 100 Wells In Africa,251101104,10350517,212993,2023-11-04,10.5,62775.28,376651.66,1004404.42,4.21,True,Saturday,November,2023,11,04 PM,16,Afternoon,Saturday,649,1845593114.3999999
c0v8OPItCOg,"$100,000,000 Bathroom",338100169,12439385,22310,2023-10-17,0.8333333333333334,84525.04,507150.25,1352400.68,3.69,False,Tuesday,October,2023,10,05 PM,17,Evening,Tuesday,667,197225098.58333334
3OFj6l2tQ9s,World&#39;s Most Dangerous Trap!,313639946,6636066,149648,2023-10-07,19.566666666666666,78409.99,470459.92,1254559.78,2.16,True,Saturday,October,2023,10,04 PM,16,Afternoon,Saturday,677,4295821793.713333
