Video_ID,Title,Published_At,Views,Likes,Comments,Duration
vpRW4JhzfSE,1 Subscriber = 1 Second In The Arctic,2025-08-08T16:00:02Z,45272481,1728306,7609,PT17S
qXW93Cois2s,Guess What Hit You,2025-08-05T16:00:01Z,39787078,806411,4238,PT32S
Z4hVGCWH1Kc,"2,000,000 People Get Clean Water For The First Time!",2025-08-01T16:00:01Z,53348208,2018528,37652,PT10M20S
V6In4tmd-w8,"$1 vs $25,000 VFX",2025-06-19T17:00:41Z,76305266,1989477,11442,PT23S
DZIASl9q90s,"Beat Neymar, Win $500,000",2025-05-24T16:00:01Z,151446723,3485968,81165,PT27M53S
N0pwLtonPdg,Slippery vs Sticky Stairs,2025-05-16T16:00:01Z,629978420,7147860,21271,PT36S
M1STzb7k9L8,Extreme Helmet Game,2025-04-25T16:15:00Z,197816741,2166759,4994,PT23S
zajUgQLviwk,"Last to Leave Their Circle Wins $500,000",2025-03-01T17:00:01Z,187530881,3030641,83458,PT38M38S
nAiKLoCP-kU,"Reach the Money, Win $10,000",2025-02-14T18:15:00Z,441719056,7291979,8490,PT25S
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,2025-02-08T17:00:00Z,214455991,5308827,101145,PT21M43S
SM66GDRyIVY,"I Helped 2,000 People Walk Again",2025-01-11T17:00:02Z,116398271,2922514,54514,PT15M31S
gs8qfL9PNac,"2,000 People Fight For $5,000,000",2024-12-19T17:00:00Z,181070247,4550068,50432,PT24M45S
bn0Kh9c4Zv4,7 Days Exploring An Underground City,2024-10-12T16:00:00Z,156879207,3621321,32762,PT20M35S
8krJy31Diow,Holding Bigger And Bigger Dogs,2024-09-16T18:00:00Z,300959769,7869927,9505,PT17S
snUyLbGx6U4,"Buy Feastables, Win Unlimited Money",2024-04-30T16:00:00Z,371631190,12144224,26646,PT51S
Pv0iVoSZzN8,In 10 Minutes This Room Will Explode!,2024-04-27T16:00:00Z,158182298,4143735,77763,PT10M
7ESeQBeikKs,"Protect $500,000 Keep It!",2024-01-13T17:00:00Z,181610791,4752652,70290,PT15M34S
tnTPaLOaHz8,"$10,000 Every Day You Survive In A Grocery Store",2023-12-02T17:00:00Z,437034574,7141679,84280,PT21M32S
7dYTw-jAYkY,I Spent 7 Days Buried Alive,2023-11-18T17:00:01Z,267895417,7717267,116354,PT18M34S
